,Loss,IoU
0,0.48492947433676037,0.36441538562732084
1,0.11828497052192688,0.7904335664851325
2,0.057087755628994534,0.8922609644276756
3,0.043860043798174174,0.9160516623939786
4,0.03775476557867868,0.9273217214005334
5,0.034726819821766446,0.9329033493995667
6,0.034103981086186,0.9340993974890027
7,0.03121866285800934,0.9394938839333398
8,0.028572097420692444,0.9444689410073417
9,0.031879586832863946,0.9383065274783543
10,0.031141892075538635,0.9396380909851619
11,0.03358135053089687,0.9350624254771641
12,0.030681424907275608,0.9405040251357215
13,0.027523489935057505,0.946442499756813
14,0.030565606696265086,0.9407432909522738
15,0.02913361574922289,0.9433975241013935
16,0.027772718242236545,0.9459901281765529
17,0.02719361654349736,0.9470772807087217
18,0.026318877935409546,0.9487229372773852
19,0.02585034498146602,0.9496245235204697
20,0.027002334594726562,0.9474534945828574
21,0.027345751013074602,0.9467829231704984
22,0.024278255445616587,0.9526039766413825
23,0.024629424725260054,0.9519353806972504
24,0.024885337267603194,0.95144770187991
25,0.024347394704818726,0.9524744302034378
26,0.023675629070826938,0.9537569944347654
27,0.02343676132815225,0.9542084527867181
28,0.023881501385143826,0.9533714311463493
29,0.022888492260660444,0.9552548655441829
30,0.02358515134879521,0.9539364725351334
31,0.023318671754428318,0.9544344757284436
32,0.022672425423349653,0.9556667847292764
33,0.02293285940374647,0.9551733412912914
34,0.022683516144752502,0.9556548765727452
35,0.02222990776811327,0.9565167937959943
36,0.02280295959540776,0.9554209155695779
37,0.021589123776980808,0.9577418672186988
38,0.02165361387389047,0.9576177703482764
39,0.022333364401544844,0.956314702119146
40,0.02165043992655618,0.9576236094747271
41,0.02175288966723851,0.9574253708124161
42,0.0220087787934712,0.9569386967590877
43,0.021005057862826755,0.958860552736691
44,0.02188480113233839,0.9571770685059684
45,0.022202840873173306,0.9565669468470982
46,0.022160095827920095,0.9566486967461449
47,0.0217764356306621,0.9573827173028674
48,0.02178149563925607,0.957371996981757
49,0.02166184995855604,0.9576021390301841
50,0.02150828923497881,0.9578972522701535
51,0.02176308844770704,0.957407038126673
52,0.02161463669368199,0.9576930808169501
53,0.02143456680434091,0.9580375296728951
54,0.021472652043615068,0.9579619275672095
55,0.02230441996029445,0.9563697533948081
56,0.021742533360208784,0.9574474138872964
57,0.021543771028518677,0.9578269124031067
58,0.021028665559632436,0.9588137311594827
59,0.0208553352526256,0.9591463037899562
60,0.021117282765252248,0.9586455353668758
61,0.020838560802595957,0.9591801549707141
62,0.02061195032937186,0.9596140193087714
63,0.02033142958368574,0.9601530049528394
64,0.020296350121498108,0.9602199899298804
65,0.020307821886880056,0.9601979511124747
66,0.022411797727857317,0.9561851024627686
67,0.02384795461382185,0.9534325322934559
68,0.022192214216504778,0.9565893411636353
69,0.022016472050121853,0.9569231910364968
70,0.02170177868434361,0.9575258237974984
71,0.021317573530333384,0.9582634695938655
72,0.020777549062456404,0.9592951302017484
73,0.02210619194167001,0.9567532305206571
74,0.020240851811000278,0.9603256200041089
75,0.020813731210572377,0.9592268062489373
76,0.02060583872454507,0.9596271621329444
77,0.020514933126313344,0.9597980507782528
78,0.020610521946634566,0.9596159160137177
79,0.020512263689722334,0.9598045881305423
80,0.020794600248336792,0.9592625456196922
81,0.020299949816295078,0.9602123179606029
82,0.01962317739214216,0.9615172722509929
83,0.02046826481819153,0.9598901505981173
84,0.020208801542009627,0.9603888030563082
85,0.020338792886052812,0.960141156400953
86,0.020510946001325334,0.9598088754074914
87,0.02024986914225987,0.9603097055639539
88,0.019919610449246,0.9609441395316806
89,0.01960092144353049,0.9615539078201566
90,0.020296935524259294,0.9602200984954834
91,0.019937753677368164,0.9609114357403347
92,0.019518136978149414,0.9617139633212771
93,0.0194172774042402,0.9619102030992508
94,0.019881512437547957,0.9610194500003543
95,0.01997696501868112,0.9608323637928281
96,0.019289910793304443,0.9621532580682209
97,0.020082856927599226,0.9606296973569053
98,0.020243717091424123,0.9603216350078583
99,0.019746976239340647,0.9612783704485212
100,0.018998867699078152,0.9627148466450828
101,0.019056475588253567,0.9626035626445498
102,0.018534947718892778,0.9636076986789703
103,0.01865333318710327,0.9633795299700328
104,0.018600304211888994,0.963482066988945
105,0.018408070717539107,0.9638526141643524
106,0.01821076444217137,0.9642319849559239
107,0.01849923176424844,0.9636785515717098
108,0.018918699451855252,0.9628687075206211
109,0.018801804099764143,0.963094100356102
110,0.018410393169948032,0.9638497148241315
111,0.01839117067200797,0.9638851625578744
112,0.01842425763607025,0.9638219390596662
113,0.018537625670433044,0.9636018340076719
114,0.01816055817263467,0.9643301389047078
115,0.01867842674255371,0.9633337642465319
116,0.019008372511182512,0.9626971866403308
117,0.018945576889174327,0.9628183862992695
118,0.018674484321049283,0.9633390009403229
119,0.01863322513444083,0.9634207444531577
120,0.01815540449959891,0.9643426750387464
121,0.018089498792375838,0.9644673892429897
122,0.01852008274623326,0.963636543069567
123,0.018173881939479282,0.9643049708434513
